# english	chinese — 事件格文字在地化(踩到特殊格 → run_event emit → tr)。
# 鍵 = VM 解出的英文原文(逐條 emit);譯文源自 docs/translation/15_TRANSLATION_DRAFT.md / CONTEXT.md。
# 注意:部分鍵含結尾空白(對齊 VM emit),勿手動 trim。
An old wizard bars your path. "My home is off limits, friend," he says. "You're free go anywhere else you wish, but please respect my privacy."	一位老巫師擋住你的去路。「我的住處謝絕進入，朋友。」他說，「你可以自由去任何想去的地方，但請尊重我的隱私。」
The door is locked.	門上了鎖。
Someone looks at you from within the stone building.	有人從石造建築裡注視著你。
Corroded stones like rotting teeth jut from the wet soil, marking where the buildings of a proud city once stood. A battered signpost reads, "Weep for Tars."	腐蝕的石塊像爛牙般從濕潤的土中突起，標示著一座驕傲城市昔日建築的所在。一塊殘破的路標寫著：「為塔斯哀悼。」
A huge slab of stone lays before you.	一塊巨大的石板橫在你面前。
This open area is in better repair than the rest of the city. Strange murals cover the walls.	這片開闊地比城裡其他地方保存得更完好。牆上佈滿奇異的壁畫。
You notice signs that a party of men have passed this way.	你注意到有一隊人馬曾經過此處的痕跡。
Arrrggh! A Pit!!	啊啊啊！是陷坑！！
Crumbling ruins mark where the wall has been breached by the engines of war.	崩塌的廢墟標示著城牆被戰爭器械攻破之處。
Loose rubble blocks the way between the walls.	鬆動的碎石擋住了兩道牆之間的通路。
Mud is slowly oozing from a fissure here.	泥漿正緩緩從此處的裂縫滲出。
You find the city militia's weapons cache!	你找到了城市民兵的武器庫！
This bridge helps shelter the inner harbor.	這座橋為內港提供了屏障。
Guards stand before the entrance to the royal palace.	衛兵守在皇宮入口前。
Royal Guards prevent you from entering Kingshome. "Move along, Outlanders!"	皇家衛兵阻止你進入京雄城。「走開，外鄉人！」
This is a gallery of family portraits. At the head of the gallery is a huge painting of King Drake, looking very fit and authoritarian. On the facing wall of the 	這是一條家族肖像長廊。長廊盡頭是一幅杜拉克國王的巨幅畫像，看來健壯而威嚴。在對面的牆上，
gallery you see portraits of Drake's children Prince Jordan of Byzanople, and the twin princess Myrilla and Myrolla.	你看見杜拉克子女的肖像——拜占儂的喬丹王子，以及雙胞胎公主蜜瑞拉與蜜蘿拉。
This is a library, long dusty from disuse. This entire wing of the palace doesn't see much use nowadays. Books are available on all variety of subjects concerning Oceana both past and present, but mostly past.	這是一間圖書室，因久未使用而積滿灰塵。皇宮這整側廂房如今鮮少有人來。這裡藏有關於歐西納古今各類主題的書籍，但多半是談過往。
This is the king's wardrobe. Here you find innumerable breeches, capes, boots, and blouses, and all manner of clothing accessories. Although this collection is valuable, it would be recognized instantly if someone tried to sell it.	這是國王的衣帽間。你在這裡找到數不清的馬褲、披風、靴子與上衣，以及各式各樣的服飾配件。這批收藏雖然值錢，但若有人試圖變賣，立刻就會被認出來。
In a closed trunk, you find several dozen simple white robes such as pilgrims wear.	在一只闔上的箱子裡，你找到數十件樸素的白袍，正是朝聖者所穿的那種。
Fine tapestries and works of art are heaped in the corner. A treasure chest full of gold stands open in the center of the room. Silverware and other luxurious 	精美的掛毯與藝術品堆在角落。房間中央有一只盛滿金幣的寶箱敞開著。銀器與其他奢華
items are scattered across the floor. Whoever piled these valuables here either has no respect for wealth, or no need of the same.	物品散落一地。把這些財寶堆在此處的人，要不是不把財富放在眼裡，就是根本不需要這些。
Several items of interest lay strewn about.	幾件值得注意的物品散落各處。
You have found a locked chest.	你找到一只上了鎖的箱子。
Another baby killed.	又一隻幼龍被殺害了。
A wave of telepathic hate washes over you. These children had a mother...	一股心靈感應的恨意席捲而來。這些孩子也曾有母親……
Dragon roars are constant, now, as the brood both mourns the passing of their brothers and prepare themselves for war.	龍吼如今不絕於耳，龍群既哀悼同伴的逝去，也為戰爭做著準備。
Nestled amid the rocks you find a dragon's skeleton.	在岩石之間，你發現一具龍的骸骨。
The air is so thick with death and tension it feels like being underwater.	空氣中瀰漫著濃重的死亡與緊張氣息，彷彿置身水底。
The air reeks with the smell of death and burning dragon.	空氣中充斥著死亡與焚龍的惡臭。
You hear the distant rumble of a dragon... the likes of which man has never seen.	你聽見遠處傳來龍的轟鳴……那是人類前所未見的存在。
What will you do for an encore?	你接下來還打算做什麼？
From this well issue the cries of lost souls.	從這口井中傳出迷失亡魂的哭喊。
There is an open well here, there appears to be buildings in the water below.	這裡有一口敞開的井，下方水中似乎有建築物。
The icy winds of despair tear at your soul!	絕望的冰冷寒風撕扯著你的靈魂！
The very fury of the sun seems to burn in this corridor!	彷彿太陽的怒火在這條走廊中燃燒！
This chamber is bisected by a wall of fire. The heat is overwhelming. On the far side of the fire, you can see the exit from this room.	這間石室被一道火牆一分為二。熱浪逼人。在火焰的另一側，你能看見這間房間的出口。
This chamber is heaped with the bones of hundreds of unidentifiable creatures.	這間石室堆滿了數百具難以辨識的生物骸骨。
This room is full of sticky spider webs.	這個房間裡佈滿黏稠的蛛網。
This natural cavern must lay at the very heart of the universe.	這座天然洞窟想必位於宇宙的最核心。
The floor moved!	地板移動了！
You are falling!!	你正在墜落！！
You're falling!! Where did the floor go??	你正在墜落！！地板哪裡去了？？
Oh, joy... right back where you started.	噢，真好……又回到了出發的原點。
All is darkness and confusion! Where are you?	一片漆黑與混亂！你身在何處？
Mad screaming rings in your ears!	瘋狂的尖叫在你耳邊迴響！
Splash!!	撲通！！
Zap!!!	茲啦！！！
The shore is closest here.	這裡離岸邊最近。
A natural ford in the river.	河上的一處天然淺灘。
You see footprints in the mud.	你看見泥地上的腳印。
In the bushes by the ford, you find animal tracks.	在淺灘旁的灌木叢中，你發現了動物的足跡。
You stand before a large open glade.	你站在一片開闊的林間空地前。
You find an odd harvest of mushrooms beneath this tree.	你在這棵樹下發現一叢奇特的蘑菇。
A magical horn rests at the foot of this statue.	一只魔法號角擱在這尊雕像的腳邊。
A simple shrine occupies this island.	一座簡樸的神龕坐落於這座島上。
There's a simple shrine on the island in the midst of a still pond.	在一片靜止池水之中的小島上，有一座簡樸的神龕。
You stand beside a magical pond, shall you wade in?	你站在一座魔法池畔，要涉水進入嗎？
Hidden away beside this rock is an arms cache!	在這塊岩石旁，藏著一處武器庫！
You find where a soldier has stashed his arms and armor!	你找到一名士兵藏匿武器與盔甲的地方！
You've found a guard barracks... you must be on the right track.	你找到了一處衛兵營房……看來你走對方向了。
You find a soldier has stashed his arms and armor!	你找到一名士兵藏匿武器與盔甲的地方！
# ── 世界圖地點進城提示(area 0;op_6B-gated 選單字串)──
Enter Purgatory	進入波卡城
Enter Slave Camp	進入奴隸營
Enter ancient ruins	進入古代廢墟
Enter the City of the Yellow Mud Toad	進入黃泥蟾蜍城
Enter Smuggler's Cove	進入海盜竊穴
Enter ruined city	進入廢棄之城
Enter decaying city	進入腐朽之城
Enter Kingshome	進入京雄城
Enter Royal Game Preserve	進入皇家獵區
Enter Dragon Valley	進入龍谷
Enter Nisir	進入尼塞
Enter Lansk	進入蘭斯克
Enter Byzanople	進入拜占儂
Enter Freeport	進入自由港
Enter Slave Estate	進入莫格宅院
Enter Camp	進入軍營
Enter sunken ruins	進入沉沒廢墟
Enter strange building	進入詭異建築
Bridge ahead, approach	前方有橋，靠近
Guard bridge ahead, approach	前方有守橋，靠近
Heavily guarded bridge ahead, approach	前方有重兵把守的橋，靠近
Ruins ahead, Approach	前方有廢墟，靠近
Magical forest ahead, Enter	前方有魔法森林，進入
Approach Old Dock	靠近老碼頭
Approach Pilgrim's Dock	靠近朝聖碼頭
# ── NPC 對話 / 劇情 / gate ──
A Lansk official smiles at you. 	一名蘭斯克官員對你微笑。
A Priest of the Universal God blesses you as you pass. "Namtar protect you," he says.	一位宇宙之神的祭司在你經過時為你祝福。「願納達保佑你。」他說。
"Papers, please," he says, holding out his hand to you.	「請出示證件。」他說，朝你伸出手。
"No one uses the front door fool!"	「沒人會走正門，蠢貨！」
"Then get lost."	「那就滾吧。」
"Recruits are always welcome in the service of Namtar," he says. Do you wish to join the army?	「納達麾下永遠歡迎新兵。」他說。你願意加入軍隊嗎？
A group of guards ambush you using powerful magic. "Remember, Namtar wants them alive," is the last thing you hear before....	一群衛兵以強大的魔法伏擊你。「記住，納達要活的。」這是你失去意識前聽見的最後一句話……
A voice drifts from the darkness, "I do not care for this rampant destruction of my property... it is time you were taught a lesson!"	一個聲音從黑暗中飄來：「我可不喜歡你們這樣肆意破壞我的財產……是時候給你們點教訓了！」
A voice rings from the shadows, "So you are finally here... I must admit I underestimated you."	一個聲音自陰影中響起：「你們終於來了……我得承認，我低估了你們。」
Buck Ironhead, Namtar's top general, regards you from across the room. "You've hacked past my best men -- I'm not sure what I can do against you," he says "But I'm not going down without a fight..."	納達麾下的首席將軍——鐵頭巴克隔著房間打量你。「你們殺穿了我最精銳的部下——我不確定自己能拿你們怎麼辦，」他說，「但我絕不會束手就擒……」
It's you against an entire army! 	你們要單挑一整支軍隊！
Only fools would dare combat an army alone!	只有蠢人才敢單獨對抗一支軍隊！
To the south lay the forces of Namtar!	南方駐紮著納達的軍隊！
This is a military parade grounds. A legion of spearmen perform intricate drills beneath the eyes of stern officers.	這是一座閱兵場。一隊矛兵在嚴厲軍官的注視下進行繁複的操演。
You hear the sound of soldiers marching from over the wall.	你聽見牆那頭傳來士兵行進的腳步聲。
A crack in the rock shows the camp where the invading army is stationed. 	岩石的裂縫間，露出了入侵軍隊紮營之處。
Any attempt to continue here will result in certain death.	若硬要在此繼續前進，必死無疑。
Surely this must be hell... you will never find Namtar, and Oceana will never be free!	這裡肯定是地獄……你們永遠找不到納達，歐西納也永遠無法獲得自由！
"I was wondering when you'd arrive. We've just gotten word from the Isle of Forlorn. Slaveholder Mog has died, and his will leaves his entire estate to you!" He holds up a hand when you press him with questions. "There isn't anything more I can tell you."	「我正納悶你們什麼時候會到。我們剛從絕望島收到消息。奴隸主莫格已經死了，他的遺囑把整份家產都留給了你們！」當你追問細節時，他舉起手。「我能告訴你們的就這些了。」
Inscribed on a standing stone you read, "In memory of our Master Zaton. May his soul rest in peace."	你讀到立石上的銘文：「謹紀念我們的宗師查頓。願他的靈魂安息。」
Judging by the ruins here, the city seems to have been on the losing end of a war.	從這裡的廢墟判斷，這座城市似乎在一場戰爭中落敗。
The owner of this mansion is a lover of art.	這座宅邸的主人是個藝術愛好者。
There doesn't seem to be anyone here. A thick coat of dust lays over everything.	這裡似乎空無一人。厚厚的灰塵覆蓋著一切。
Several dead mammals -- among them human beings -- are hung on the walls on hooks. This place looks distressingly like a meat locker.	幾具死去的哺乳動物——其中還有人類——被掛在牆上的鉤子上。這地方像座肉品冷藏庫，令人不寒而慄。
This street is remarkably clean.	這條街道乾淨得出奇。
Citizens avoid walking on this side of the street.	市民們都避免走在街道的這一側。
You feel a vibration beneath your feet, as if something is moving under the surface of the city.	你感到腳下傳來震動，彷彿有什麼東西在城市地表之下移動。
You smell a faint swampy odor from the south.	你聞到南方飄來一絲淡淡的沼澤氣味。
Something in this muck-covered ground catches your eye.	這片污泥覆蓋的地面上，有樣東西吸引了你的目光。
In the heart of this mountain you find a swampy chamber filled with bubbling mud... evidently the faerie lizard folk enjoy this type of place, but you can't help but feel it is not they alone who luxuriate here.	在這座山的深處，你發現一間充滿冒泡泥漿的沼澤洞室……顯然妖精蜥蜴族喜歡這類地方，但你不禁感到，在此享樂的並不只有牠們。
Light dances oddly in the air ahead.	前方的空氣中，光線詭異地舞動著。
Ahead you see a portal of power -- wildly shifting colors swirl within a gate of arcane stone.	前方你看見一道力量之門——奧術石門中，瘋狂變幻的色彩盤旋翻騰。
A wise man might find a way through this rock.	智者或許能找到穿越這塊岩石的方法。
There is a hidden passage here. Do you wish to take it?	這裡有一條隱密通道。你要走這條路嗎？
There are a\de\scending stairs here. Do you wish to take them?	這裡有上下樓梯。你要走樓梯嗎？
You step onto the tripwire and as logic would dictate, the granite block smashs the party into unrecognizable gore.	你踩上了絆索，一如預料，花崗岩塊將隊伍砸成一灘難以辨認的血肉。
You've been snared! You hang upside down by your heels.	你中了陷阱！被倒吊著，腳跟朝上懸在半空。
You approach the gargoyle and it does a stoning gaze at the party... Your bodies stiffen and harden as you turned into stone...	你靠近石像鬼，它對隊伍投來石化的凝視……你們的身體逐漸僵硬，化為石頭……
You fall for many miles and through many worlds, then find yourself sitting on wet rock. The air has a musty odor.	你墜落了數哩，穿越了許多世界，最後發現自己坐在濕潤的岩石上。空氣中有股霉味。
Do you wish to enter the Apsu waters	你要進入亞蘇水嗎
# ── 自由港門牌 / 招牌(area 17;"A sign reads," 後接店名)──
A sign on the door reads, "	門上的招牌寫著：「
A sign over the door reads, "	門上方的招牌寫著：「
A sign hangs loosely from its hinges reading, "The Icarian Triumph Tavern."	一塊招牌鬆垮地掛在鉸鏈上，寫著：「冒險酒店。」
Tars City Council."	塔斯市議會。」
Freeport City Council."	自由港市議會。」
Freeport Arms."	自由港武器行。」
Ryan's Armor."	萊恩盔甲鋪。」
The Brew's Brothers."	布魯兄弟酒坊。」
The Temple Faith."	信仰神殿。」
The Order of the Sword."	劍之教團。」
Bewitching Potions and Elixers."	迷人藥水與藥劑。」
Magic Inc."	魔法商行。」
Governor's Office."	總督辦公室。」
Visitor's Information Bureau."	訪客服務處。」
Visitor's Registration Department."	訪客登記處。」
Office of the Bureau of Departments."	部門管理局辦公室。」
Department of Lubrication."	潤滑事務部。」
Quarter Masters Office."	軍需官辦公室。」
# ── 方向 / 短碎片(多 emit 拼接尾段)──
north.	北方。
west.	西方。
# ── 較長 NPC 對話 / 劇情(provisional;固有名詞待審見 docs/translation/53)──
"Ah! You're the Outlanders," he says. "It is well that you came here. All visitors are required to register." The official points to a chart on the wall, reading aloud what is written there.	「啊！你們就是那些外鄉人。」他說。「你們來這裡是對的。所有訪客都必須登記。」官員指著牆上的一張告示，把上面的內容唸了出來。
"Ah! I heard there were Outlanders in town. Do you have your visitor's registration papers?" he asks. The official smiles again awaiting your reply.	「啊！我聽說鎮上來了外鄉人。你們有訪客登記證件嗎？」他問道。官員再次微笑，等待你的回答。
"Ah! Outlanders. You're probably here for a Governor's pass," he says. He hands you a stack of papers. "Have these stamped at the Office of Interior Affairs."	「啊！外鄉人。你們八成是來辦總督通行證的。」他說，遞給你一疊文件。「拿這些到內政事務處去蓋章。」
At the center of the Solarium you find Mystalvision, the renegade High Priest of the Sun. He lays on his back with his shirt off, evidently in quest of the perfect tan. He does not seem to notice your approach...	在日光殿的中央，你找到了背叛者——太陽高階祭司美斯達。他赤裸上身仰躺著，顯然在追求完美的古銅膚色。他似乎沒注意到你們的靠近……
Shadowy figures welcome you to a darkened room. Few words are spoken as you are provided with simple but effective disguises. "Word of your escape will quickly reach the Stosstrupen," one of them 	幾道朦朧的身影把你們迎進一間昏暗的房間。沒有多餘的話，他們為你們備好簡單卻有效的偽裝。「你們逃脫的消息很快就會傳到突擊隊耳裡，」其中一人
whispers. "Leave the city as soon as you are able, and do not return!"	低聲說。「盡快離開這座城市，別再回來！」
With a mad whirling and rushing you feel the stone melt away beneath your feet, transporting you to what must be another world. You find yourselves on a sun-blasted battle plain. The horizon seems an 	伴隨一陣瘋狂的旋轉與奔流，你感到腳下的石頭逐漸消融，將你們傳送到一個想必是另一個世界的地方。你們發現自己置身於一片烈日炙烤的戰場平原上。地平線顯得
uncomfortable distance away. The air is thick with swampy murk... a grim taste of what Namtar has planned for your world.	遠得令人不安。空氣中瀰漫著濃重的沼澤陰霾……這正是納達為你們的世界所謀劃的、令人膽寒的預兆。
You stand at the edge of a bottomless abyss. You dimly spot a balcony on the far side of the abyss, but there seems no way to cross. The distance is too great to jump.	你站在一道無底深淵的邊緣。你隱約瞥見深淵彼端有座露臺，卻似乎無路可渡。距離太遠，無法跳越。
 says, "The walls of this city were not shattered by man - dragons have been here." 	說：「這座城市的牆並非毀於人手——龍曾經來過這裡。」
 recognizes this area as a transportation nexus. Do you wish to teleport to the Mystic Wood?	認出這片區域是一處傳送樞紐。你要傳送到神祕林嗎？
 recognizes this glade as a transportation nexus. Do you wish to teleport to...King's IslandQuag	認出這片林間空地是一處傳送樞紐。你要傳送到……王島／奎格
Utnapishtim is standing to the 	烏特納比西丁站在
# ── 結局 + 主線 quest gate 事件擴充(docs/gameplay/55,grounded CONTEXT.md/攻略 38 §5.11/5.20;固有名詞待審見 docs/translation/53)──
This narrow stone bridge spans the chasm.	這座狹窄的石橋橫跨深淵。
This finger of rock rises from the very pit that spawned Namtar.	這根指狀岩柱，正是從孕育出納達的那座深淵中升起。
The industious people of Lansk maintain this outpost against the dark.	勤奮的蘭斯克人維繫著這座前哨站，抵禦著黑暗。
Malign fairy spirits guard this pass. They demand the price of life before you may pass. Do you consent?	惡毒的妖精守護著這道關口。牠們索求生命為代價，方可放行。你同意嗎？
"Begone, Topsiders," the fairy guard intones. "Only worshippers of Irkalla may pass."	妖精守衛低聲吟道：「滾開，上界來的人。唯有伊爾卡拉的信徒方可通行。」
In the shadows of the mountains you find an eerie cave. Enter?	在群山的陰影中，你發現了一處詭異的洞穴。要進去嗎？
In the darkness you find a well.	在黑暗中你發現了一口井。
The raging heat saps your strength.	灼人的熱浪不斷消耗你的體力。
You see an island to the east.	你看見東方有一座島嶼。
Just across the water you see the mainland.	就在水的對岸，你看見了大陸。
The water is unusually calm on this shore of the Isle of Woe.	在悲嘆之島的這片岸邊，水面異常平靜。
Despite common sense, you jump over the railing into the bottomless abyss!	你不顧常理，越過欄杆，縱身躍入無底的深淵！
Before you can react, a cosmic force envelopes you...	你還來不及反應，一股宇宙之力便將你包覆……
You wake up in a dungeon cell.	你在一間地牢牢房中醒來。
Inside the cell you find a mumbling prisoner. "They've taken the druid," he says. "They're torturing the druid."	牢房內有一名喃喃自語的囚徒。「他們把德魯伊抓走了，」他說，「他們正在折磨那名德魯伊。」
The jailor sounds the alarm!	獄卒拉響了警報！
You've found the Phoeban treasure vault!	你發現了菲巴斯的寶物庫！
This is the dungeon armory. A basic selection of arms and armor is available.	這是地牢的武器庫，這裡備有基本的兵器與護甲。
A voice that seems to emit from the very rock booms, "Only those who know the word may pass. What will you say?	一個彷彿從岩石本身發出的聲音轟然響起：「唯有知曉暗語者方可通行。你要說什麼？」
The loud rumbling of a dragon comes from the pit.	深淵中傳來一頭巨龍響亮的低吼。
You raise the blessed Sword of Freedom and strike with all your strength!	你高舉受祝福的自由之劍，傾盡全力揮砍而下！
With a final, terrible cry, Namtar -- the Beast From The Pit -- crumbles before you.	納達——深淵之獸——發出最後一聲駭人的慘嚎，在你面前崩解殞滅。
You bear his body to the Well of Souls, then walk slowly toward the pit that spawned him.	你們扛起牠的屍身，送往靈魂之泉，再緩步走向那座孕育出牠的深淵。
Oceana is free at last. Enjoy the sweet taste of your final victory!	歐西納終於自由了。盡情享受這最後勝利的甘美滋味吧！
THE END	全 劇 終
And with a mighty heave, Namtar is hurled back into the pit from whence he came...	你們奮力一擲，將納達拋回牠當初竄出的那座深淵……
Namtar lets out a horrid scream as he falls into the deepest depths of the Magan Underworld. His reign of terror is at an end!	納達發出駭人的慘嚎，墜入瑪根地底世界最幽深之處。牠的恐怖統治就此告終！
News of Namtar's destruction brings untold joy to the prisoners of the city of Purgatory. The evil city is overrun and burned to the ground by its own citizens as they once again possess the freedom that was taken from them by Namtar.	納達覆滅的消息，為波卡城的囚徒帶來難以言喻的歡騰。罪惡之城被自己的居民攻陷、付之一炬，他們再度奪回了曾被納達剝奪的自由。
A new age of peace begins, the land is reborn with life and beauty. The dragons leave the cities and return to their mystic valley to await a time that they may be needed again...	和平的新時代就此展開，大地重獲生機與美麗。巨龍離開城市，返回牠們神祕的山谷，靜候再度被需要的那一日……
=== Victory over Namtar ===	=== 戰勝納達 ===
The Ending of Dragon Wars	火龍之戰・結局
(remake-composed ending: bundled paragraphs + area27 narrative; not a single original script)	（remake 組合結局：以已收錄的手冊段落＋第27區決戰敘事組成，非原版單一腳本）
# ── 支線/各城事件擴充(docs/reverse-engineering/52 全 40 區 mainline_events 掃描;grounded 攻略 38/39+CONTEXT.md;固有名詞待審見 docs/translation/53)──
"What can I do for ya, stranger?" says the barkeep	「有什麼能為你效勞的嗎，陌生人？」酒保問道。
At the Black Market, we have what you need...	在黑市，你需要的東西這裡都有……
Many people are here dying of various diseases and afflictions. A robed healer attends to the needs of all.	這裡有許多人正死於各種疾病與病痛。一名身披長袍的治療師照料著所有人。
Here you find several recent escapees from Purgatory. Unlike the other denizens of this camp, some of them look like they might wish to continue their adventures in Dilmun	你在這裡遇見幾名剛從波卡城逃出來的人。和營中其他人不同，他們之中有些人看來還想在迪瑪繼續冒險。
Behind this tree is an arms cache!	這棵樹後藏著一處武器庫！
Written on this stone is "To restore the master of High Magic, the various pieces of his body must be found and returned to the City of the Yellow Mud Toad."	這塊石頭上刻著：「若要復原高級魔法宗師，必須尋回他身體的各個部位，送回黃泥蟾蜍城。」
The bar life in this town is slow and rather boring - no one dares to catch the notice of the Strosstrupen	這座城裡的酒館生活緩慢又無趣——沒人敢引起 Stosstrupen（突擊隊）的注意。
 strong box in the corner.	角落裡的保險箱。
A bored Lansk official sits behind a desk. He looks up as you approach. "You shouldn't be in here," he says. "Off with you before I call the guard!" A sign beside the door behind the official reads, "Armory" 	一名百無聊賴的蘭斯克官員坐在辦公桌後。你靠近時他抬起頭。「你們不該進來這裡，」他說，「快走，不然我就叫衛兵了！」官員身後門邊的告示寫著：「武器庫」
"Welcome to the Cavern Tavern, folks," says the barkeep	「歡迎光臨洞窟酒館，各位，」酒保說道。
Magical Mud Inc., we'll ooze your pains away for a price!	魔法泥漿商行，只要付點錢，就讓你的痛楚隨泥而去！
Before you is the gate to Byzanople. The doors are of stout oak reinforced by bands of steel. City defenders sneer at you as you search in vain for a means past the gate.	你面前是拜占儂的城門。門以堅實的橡木打造，外加鋼條加固。守城者對你冷笑，而你怎麼也找不到通過城門的方法。
This ruined building seems to have once been part of the city defenses. A large block catches your eye.	這座殘破的建築，似乎曾是城防的一部分。一塊巨大的石塊吸引了你的目光。
You stand before the main gate to the city. If you open it, the Kingshomer army will be able to enter and overwhelm the garrison.	你站在城市的正門前。若打開它，京雄城的軍隊便能長驅直入，壓垮守軍。
Marik was repairing some broken armor when he spots you, "I haven't seen any new customers since the war broke out!"	馬瑞克正在修補幾件破損的盔甲，他一見到你便說：「自從戰爭爆發後，我就沒見過半個新客人了！」
"Make your selections quickly, I have a lot of weapons to make!!"	「快點挑選吧，我還有一大堆武器要打造呢！！」
Marik's Armory."	馬瑞克盔甲鋪。」
Bart's Weaponsmithing."	巴特兵器坊。」
Alchemist Boris will heal all for a price.	煉金術士鮑里斯付費為眾人療傷。
Town Healer."	城鎮治療師。」
You enter the dock house. Several men lunge for their weapons and challenge you. The men look like pirates and scoundrels. You are heavily outnumbered, and the pirates are well armed.	你走進碼頭屋。幾名男子撲向他們的武器，向你叫陣。這些人看來像海盜與無賴。你們寡不敵眾，而海盜們武裝精良。
Despite Ugly's warning, you try to sneak through the west door. Beyond the door you find a secret dock at which is moored a fast clipper ship.	你不顧醜約翰的警告，試圖從西側的門偷溜過去。門後你發現一座隱密的碼頭，泊著一艘快速的飛剪船。
Ugly is as good as his word. You are escorted aboard a tiny ship and set sail for the Necropolis... the City of the Dead.	醜約翰說話算話。你被護送上一艘小船，啟航前往陳屍所……亡者之城。
A statue of a proud and haughty dwarf stands before you. The stone work is of exceptional quality	一尊高傲倨慢的矮人雕像佇立在你面前。石工技藝精湛非凡，
, but the statue has no eyes	但雕像沒有眼睛。
Once this valley rung with the sound of dwarfen hammers... now it is silent.	這座山谷曾迴盪著矮人鐵鎚的聲響……如今卻一片寂靜。
To the west, behind a wall of crystal, you see the fires of a mighty forge.	在西方，一道水晶牆後，你看見一座宏偉鑄爐的爐火。
A mystical dwarven forge is here, but without a master smith, the forge is useless.	這裡有一座神祕的矮人鑄爐，但少了鑄造宗師，這座爐子便毫無用處。
The magical fire of this dwarven forge does not burn so much as it saps your very life essence.	這座矮人鑄爐的魔法之火與其說是灼燒，不如說是在抽取你的生命精華。
Mining work in this room was rapidly abandoned... something must have happened suddenly.	這間房裡的採礦作業被匆匆棄置……想必是突然發生了什麼事。
Several dwarven weapons are neatly stored here.	幾件矮人武器整齊地收存在此。
On a small dias is a dwarven artifact!	一座小臺座上擺著一件矮人神器！
Many valuable items of dwarven manufacture are stored here.	這裡收存著許多珍貴的矮人製品。
A wizard stands before shelves filled with many magical scrolls, "I am most skilled in High Magic!"	一名巫師站在堆滿魔法卷軸的架子前。「我最擅長高級魔法！」
A crass barbarian twirls swords before you in a dazzling display of swordplay, "I only stock the finest arms in the land!"	一名粗野的蠻族在你面前舞動雙劍，劍術耀眼奪目。「我這兒只賣全國最頂級的兵器！」
A well-armored warrior blinds your eyes with his highly polished armor, "Welcome to my shop!"	一名披掛精良的戰士，那身擦得發亮的盔甲幾乎晃花你的眼。「歡迎光臨小店！」
